County,SubCounty,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
NAIROBI CITY,EMBAKASI,988808,492476,496270,347955,"346,462 "," 1,493",86,11460
NAIROBI CITY,KAMUKUNJI,268276,136670,131599,84365,"83,680 ", 685,11,25455
NAIROBI CITY,KASARANI,780656,381234,399385,271290,"268,611 "," 2,679",86,9063
NAIROBI CITY,KIBRA,185777,94199,91569,61690,"61,651 ", 39,12,15311
NAIROBI CITY,LANG'ATA,197489,96698,100774,62239,"60,187 "," 2,052",217,911
NAIROBI CITY,MAKADARA,189536,96369,93157,70361,"70,080 ", 281,12,16150
NAIROBI CITY,MATHARE,206564,106522,100028,74967,"74,967 ", -,3,68940
NAIROBI CITY,NJIRU,626482,307642,318809,204563,"204,492 ", 71,130,4821
NAIROBI CITY,STAREHE,210423,109173,101238,69389,"66,108 "," 3,281",21,10205
NAIROBI CITY,WESTLANDS,308854,153818,155021,104980,"103,489 "," 1,491",98,3167
