County/ Sub-County,ConventionalHouseholds,Makuti/Twigs,Makuti thatch,Dung/Mud,Iron sheets,Tins/cans,Asbestos  Concrete/sheet,Cement,Tiles,Canvas/Tents,Decra/Versatile,Nylon/Cartons/Cardboard,Shingles,Not Stated
KABETE,66681,0,0,0.1,83.2,0.1,1.5,12.3,1.2,0,0.9,0.6,0.1,0
KIAMBAA,80316,0,0,0,79.1,0.1,1.5,16,1.2,0,1.1,0.8,0.1,0
KIAMBU,46816,-,0,0,71.1,0.1,1.4,20.9,2.2,0,3.4,0.7,0.1,0.1
KIKUYU,60619,0,0,0,76,0.1,2.3,17.5,2.2,0,1,0.7,0.1,0
LARI,38585,0,0,0,94.1,0.1,1.5,1.9,0.5,0,0.7,1,0,0
LIMURU,49096,0,0,0,88.4,0.1,1.4,7.5,1.1,0,0.9,0.4,0.1,0
RUIRU,127910,0,0,0,54.3,0.1,1.9,38.5,2.3,0,2.2,0.6,0.1,0
THIKA EAST,12736,0,-,0.1,91.3,0,3.4,3.7,0.1,-,1.2,0.1,0.1,0
THIKA WEST,89089,0,0,0.1,73.2,0.1,2.2,20.4,2.2,0,1.2,0.6,0.1,0
TURKANA,162627,41.3,19.5,1.2,33.1,0.3,0.4,0.3,0,0.9,0.1,2.8,0,0.1
KIBISH,5699,83.1,0.6,2.3,3.3,0.1,0.1,0.1,-,1.3,-,9.1,-,-
LOIMA,19139,53.5,37.3,1.2,5.6,0.1,0,0,-,1.1,-,1,0,0.1
TURKANA CENTRAL,37917,34.6,18.6,0.5,44.3,0.1,0.9,0.6,0.1,0.1,0.2,0.1,0,0
TURKANA EAST,17887,37.8,44,2.3,15,0.2,0.2,0.3,0,0.1,0,0,0,0.1
TURKANA NORTH,12964,73.9,10.7,0.2,8.2,0.4,0.2,0.1,0,0.6,-,5.8,-,0
TURKANA SOUTH,24281,29,23.3,1.8,41.6,0.3,0.4,0.3,0.1,0.5,0,2.7,-,0.1
TURKANA WEST,44740,35.2,5.8,1.2,49,0.7,0.3,0.4,0,2,0,5.2,0,0.1
WEST POKOT,115761,50.1,0.6,2.9,45.3,0.1,0.3,0.2,0.1,0,0.1,0.1,0.1,0
KIPKOMO,18367,37.1,1.2,2.5,58.7,0.1,0.1,0.1,0,0,0,0,0.1,-
POKOT CENTRAL,21784,61.9,0.4,1.9,35,0.1,0.2,0.1,0,0.1,0,0.3,-,0
POKOT NORTH,25736,76.3,0.8,5,17.3,0.1,0.3,0.1,0,0,-,0,0,0.1
POKOT SOUTH,13752,50.3,0.8,2.9,44.8,0.1,0.3,0.2,0,0,0,0.1,0.4,-
WEST POKOT,36122,30.9,0.3,2.2,64.8,0.1,0.5,0.5,0.3,0,0.3,0,0,0
SAMBURU,63951,21.7,6.7,19.7,31.1,0.3,0.8,0.5,0,0.1,0.1,19,0.1,0
SAMBURU CENTRAL,33720,17,8.5,25.9,40.5,0.2,1.2,0.6,0.1,0.1,0.1,5.7,0.1,0
SAMBURU EAST,17307,19.3,4.3,14.6,23.1,0.2,0.4,0.3,0,0.1,0.1,37.5,0,-
SAMBURU NORTH,12924,37.1,5.2,10.3,17.3,0.7,0,0.3,0,0,0,29,0,0
TRANS NZOIA,222989,2.3,0.1,0.9,94,0.1,1,0.6,0.6,0,0.2,0.1,0,0
